Process ID,Arrival Time,Burst Time,Priority
P1496,516,44,18
P1497,634,48,15
P1498,841,23,6
P1499,864,17,7
P1500,117,1,17
P1501,805,31,6
P1502,908,31,8
P1503,158,42,12
P1504,814,42,14
P1505,227,34,12
P1506,876,9,10
P1507,215,22,15
P1508,947,13,7
P1509,695,25,9
P1510,14,48,10
P1511,156,18,10
P1512,647,12,16
P1513,260,40,7
P1514,156,17,5
P1515,46,15,3
P1516,323,42,18
P1517,843,15,11
P1518,684,15,15
P1519,129,39,5
P1520,410,13,12
P1521,94,17,4
P1522,626,32,15
P1523,754,9,9
P1524,931,40,7
P1525,291,20,10
P1526,793,26,13
P1527,810,27,8
P1528,282,21,12
P1529,68,18,19
P1530,659,13,1
P1531,10,16,16
P1532,253,9,17
P1533,841,12,18
P1534,871,44,11
P1535,549,38,18
P1536,133,19,7
P1537,711,7,18
P1538,22,35,8
P1539,814,48,6
P1540,345,18,7
P1541,301,16,10
P1542,362,39,11
P1543,395,4,13
P1544,217,25,9
P1545,140,32,7
P1546,615,40,9
P1547,957,13,13
P1548,209,45,3
P1549,984,17,3
P1550,992,49,1
P1551,622,37,2
P1552,615,6,3
P1553,827,19,15
P1554,682,13,6
P1555,459,26,13
P1556,355,14,1
P1557,323,31,19
P1558,132,4,1
P1559,887,39,2
P1560,804,8,15
P1561,839,25,14
P1562,126,13,19
P1563,105,32,11
P1564,603,38,15
P1565,798,38,6
P1566,377,28,9
P1567,904,30,5
P1568,50,3,2
P1569,28,28,6
P1570,461,3,18
P1571,295,45,19
P1572,296,34,9
P1573,725,16,6
P1574,778,22,14
P1575,406,32,13
P1576,768,38,11
P1577,813,8,12
P1578,612,8,19
P1579,404,6,19
P1580,345,14,19
P1581,621,32,13
P1582,419,35,14
P1583,181,10,18
P1584,982,3,12
P1585,824,12,4
P1586,0,49,10
P1587,830,31,17
P1588,949,29,4
P1589,566,5,12
P1590,370,25,13
P1591,935,41,4
P1592,910,31,10
P1593,660,21,3
P1594,430,20,15
P1595,968,39,2
P1596,308,22,17
P1597,136,4,6
P1598,201,13,8
P1599,435,45,3
P1600,312,42,18
P1601,116,49,1
P1602,665,20,16
P1603,936,13,7
P1604,802,17,3
P1605,574,36,4
P1606,243,33,9
P1607,536,1,5
P1608,601,15,19
P1609,74,13,15
P1610,805,17,8
P1611,385,24,6
P1612,902,8,18
P1613,209,27,19
P1614,474,45,15
P1615,417,23,7
P1616,346,46,10
P1617,528,8,6
P1618,639,8,14
P1619,938,26,17
P1620,954,47,9
P1621,875,13,19
P1622,762,39,5
P1623,178,37,7
P1624,181,49,19
P1625,663,28,7
P1626,24,25,2
P1627,966,16,16
P1628,179,2,13
P1629,709,18,8
P1630,500,17,6
P1631,855,30,6
P1632,160,39,9
P1633,176,13,4
P1634,284,32,11
P1635,62,29,5
P1636,661,46,17
P1637,665,30,7
P1638,155,18,15
P1639,881,13,15
P1640,468,43,14
P1641,48,21,13
P1642,966,30,11
P1643,848,21,13
P1644,83,48,9
P1645,360,17,10
P1646,688,40,4
P1647,147,19,17
P1648,629,15,14
P1649,341,9,18
P1650,475,10,11
P1651,62,44,16
P1652,700,31,1
P1653,359,23,7
P1654,560,30,10
P1655,326,33,9
P1656,768,9,3
P1657,735,47,14
P1658,140,1,15
P1659,989,44,2
P1660,214,35,14
P1661,434,11,16
P1662,890,34,7
P1663,951,16,4
P1664,722,9,18
P1665,317,32,5
P1666,31,15,6
P1667,669,12,7
P1668,284,33,15
P1669,304,45,1
P1670,428,14,4
P1671,476,8,1
P1672,285,8,11
P1673,143,27,18
P1674,423,12,14
P1675,18,1,11
P1676,17,43,10
P1677,768,40,17
P1678,589,42,4
P1679,370,11,15
P1680,174,39,16
P1681,193,43,13
P1682,501,31,9
P1683,987,17,11
P1684,112,33,11
P1685,113,32,6
P1686,221,29,1
P1687,677,21,6
P1688,946,21,13
P1689,830,40,5
P1690,643,23,15
P1691,896,6,18
P1692,263,22,14
P1693,924,38,15
P1694,54,37,5
P1695,870,45,4
P1696,642,8,2
P1697,799,41,7
P1698,777,49,10
P1699,457,35,16
P1700,978,11,10
P1701,877,24,18
P1702,161,49,17
P1703,379,21,13
P1704,992,2,1
P1705,86,40,1
P1706,54,19,15
P1707,475,39,1
P1708,799,28,6
P1709,177,17,13
P1710,390,6,1
P1711,348,19,5
P1712,7,38,9
P1713,832,28,17
P1714,312,2,16
P1715,758,38,8
P1716,834,37,17
P1717,983,4,15
P1718,982,22,1
P1719,442,26,12
P1720,766,49,5
P1721,327,43,6
P1722,53,36,1
P1723,760,13,1
P1724,238,32,10
P1725,228,17,10
P1726,578,41,3
P1727,50,36,17
P1728,608,46,19
P1729,603,19,11
P1730,263,35,18
P1731,417,46,2
P1732,802,40,9
P1733,95,28,17
P1734,87,1,14
P1735,77,42,4
P1736,287,18,17
P1737,119,48,17
P1738,813,40,12
P1739,490,33,18
P1740,911,12,3
P1741,451,8,11
P1742,499,24,18
P1743,164,16,4
P1744,181,4,17
P1745,468,38,18
P1746,909,44,5
P1747,734,27,14
P1748,822,9,10
P1749,943,47,15
P1750,977,16,1
P1751,6,12,16
P1752,329,31,11
P1753,774,24,6
P1754,672,14,16
P1755,150,45,2
P1756,84,25,1
P1757,146,34,9
P1758,623,3,12
P1759,380,24,17
P1760,914,42,15
P1761,547,9,19
P1762,284,26,10
P1763,699,20,12
P1764,81,40,14
P1765,513,10,9
P1766,896,19,13
P1767,814,3,3
P1768,708,24,14
P1769,915,5,10
P1770,522,3,16
P1771,745,27,7
P1772,385,16,4
P1773,706,49,11
P1774,470,15,16
P1775,118,35,4
P1776,395,12,17
P1777,531,41,13
P1778,260,44,11
P1779,804,26,3
P1780,933,47,9
P1781,255,34,6
P1782,733,23,11
P1783,904,31,16
P1784,225,20,19
P1785,52,12,5
P1786,939,23,14
P1787,866,4,17
P1788,499,23,3
P1789,505,48,4
P1790,853,48,16
P1791,363,1,16
P1792,279,25,4
P1793,592,2,19
P1794,713,30,17
P1795,157,3,13
P1796,631,21,1
P1797,58,25,12
P1798,726,20,4
P1799,127,49,11
P1800,735,22,5
P1801,720,21,2
P1802,881,33,17
P1803,114,38,8
P1804,208,15,6
P1805,525,46,9
P1806,520,15,13
P1807,551,46,11
P1808,961,25,16
P1809,236,21,16
P1810,280,24,2
P1811,358,5,10
P1812,200,6,12
P1813,757,49,8
P1814,277,43,11
P1815,234,48,10
P1816,493,44,13
P1817,3,47,17
P1818,665,23,7
P1819,441,4,3
P1820,28,27,13
P1821,108,18,19
P1822,609,21,7
P1823,726,28,9
P1824,804,35,19
P1825,74,22,13
P1826,837,40,8
P1827,145,23,18
P1828,127,3,2
P1829,852,40,18
P1830,41,10,18
P1831,355,25,11
P1832,40,49,1
P1833,933,8,14
P1834,33,11,16
P1835,16,5,11
P1836,676,45,1
P1837,152,37,7
P1838,997,45,16
P1839,377,38,14
P1840,587,29,15
P1841,598,5,14
P1842,628,9,11
P1843,873,48,16
P1844,341,2,19
P1845,980,1,17
P1846,26,40,6
P1847,824,30,11
P1848,286,11,17
P1849,645,28,9
P1850,730,44,18
P1851,167,12,17
P1852,609,39,12
P1853,267,26,5
P1854,748,13,11
P1855,820,8,4
P1856,454,28,4
P1857,905,30,3
P1858,684,9,17
P1859,400,39,7
P1860,921,31,4
P1861,980,21,13
P1862,475,47,12
P1863,701,34,1
P1864,633,31,19
P1865,557,25,18
P1866,575,12,11
P1867,129,1,3
P1868,821,22,17
P1869,362,40,12
P1870,704,37,10
P1871,818,47,8
P1872,692,1,15
P1873,291,1,5
P1874,370,42,4
P1875,793,42,19
P1876,28,21,4
P1877,148,15,15
P1878,778,17,17
P1879,295,22,12
P1880,10,38,3
P1881,511,35,10
P1882,675,45,15
P1883,112,16,10
P1884,186,8,18
P1885,806,47,1
P1886,743,17,3
P1887,226,17,12
P1888,309,26,1
P1889,97,13,3
P1890,54,17,3
P1891,622,38,5
P1892,663,17,19
P1893,757,48,1
P1894,405,14,4
P1895,68,45,4
P1896,311,6,17
P1897,288,35,14
P1898,761,46,18
P1899,547,14,1
P1900,750,47,16
P1901,147,8,3
P1902,466,15,9
P1903,738,27,4
P1904,243,13,5
P1905,490,49,11
P1906,848,31,9
P1907,957,35,3
P1908,506,6,6
P1909,364,5,11
P1910,481,22,9
P1911,200,49,15
P1912,153,23,3
P1913,449,25,1
P1914,500,34,19
P1915,72,26,14
P1916,712,47,17
P1917,295,5,14
P1918,16,26,17
P1919,640,20,14
P1920,216,6,12
P1921,60,6,16
P1922,938,18,1
P1923,615,4,13
P1924,41,17,6
P1925,24,14,17
P1926,38,14,12
P1927,802,13,19
P1928,130,7,6
P1929,497,44,7
P1930,228,15,1
P1931,107,19,1
P1932,171,43,5
P1933,434,47,6
P1934,477,44,16
P1935,101,35,16
P1936,865,17,14
P1937,523,35,1
P1938,274,19,13
P1939,612,20,10
P1940,43,36,10
P1941,954,35,9
P1942,816,32,13
P1943,956,48,3
P1944,16,44,18
P1945,329,40,2
P1946,568,24,17
P1947,822,17,19
P1948,496,7,13
P1949,814,43,13
P1950,11,1,1
P1951,317,35,2
P1952,591,32,1
P1953,215,36,5
P1954,338,13,3
P1955,775,6,7
P1956,990,14,13
P1957,660,37,18
P1958,80,48,7
P1959,726,15,1
P1960,484,47,5
P1961,373,4,17
P1962,975,40,8
P1963,709,16,15
P1964,199,28,4
P1965,536,16,2
P1966,465,4,5
P1967,88,45,1
P1968,267,26,5
P1969,654,28,6
P1970,570,32,2
P1971,921,45,1
P1972,488,2,4
P1973,876,31,7
P1974,537,3,1
P1975,46,8,1
P1976,287,24,8
P1977,777,15,16
P1978,15,43,13
P1979,710,31,18
P1980,400,9,10
P1981,918,39,12
P1982,793,45,1
P1983,980,2,10
P1984,85,8,9
P1985,249,7,3
P1986,390,44,19
P1987,781,39,9
P1988,334,42,10
P1989,628,16,19
P1990,518,35,16
P1991,136,30,18
P1992,882,10,14
P1993,687,38,3
P1994,839,18,2
P1995,497,5,1
P1996,826,29,18
P1997,726,39,9
P1998,476,34,13
P1999,593,43,2
P2000,222,45,7
P2001,989,23,16
P2002,371,5,19
P2003,934,30,15
P2004,994,6,11
P2005,401,46,1
P2006,442,44,7
P2007,489,4,8
P2008,614,29,10
P2009,272,23,5
P2010,525,6,9
P2011,158,32,1
P2012,151,42,2
P2013,994,18,19
P2014,619,15,14
P2015,187,40,10
P2016,812,32,9
P2017,97,9,10
P2018,130,37,6
P2019,804,10,17
P2020,170,20,6
P2021,935,6,4
P2022,985,48,3
P2023,182,3,19
P2024,982,42,18
P2025,363,11,4
P2026,38,43,8
P2027,526,17,17
P2028,887,32,5
P2029,496,4,13
P2030,515,4,1
P2031,348,17,13
P2032,981,41,4
P2033,920,19,14
P2034,396,5,3
P2035,721,32,5
P2036,160,22,7
P2037,15,6,1
P2038,492,35,12
P2039,425,22,11
P2040,107,1,8
P2041,893,20,6
P2042,449,22,2
P2043,310,48,19
P2044,738,11,14
P2045,169,13,1
P2046,545,42,10
P2047,413,3,16
P2048,250,9,4
P2049,758,12,11
P2050,780,23,16
P2051,140,14,1
P2052,273,33,16
P2053,415,18,19
P2054,607,49,9
P2055,738,41,9
P2056,890,9,9
P2057,38,23,17
P2058,813,10,12
P2059,28,19,13
P2060,957,47,8
P2061,476,5,16
P2062,317,47,18
P2063,244,23,1
P2064,747,30,1
P2065,696,25,12
P2066,271,28,6
P2067,439,34,9
P2068,747,45,5
P2069,238,48,16
P2070,376,47,18
P2071,265,25,17
P2072,925,10,18
P2073,920,14,1
P2074,358,42,19
P2075,339,46,8
P2076,388,30,3
P2077,576,41,5
P2078,989,25,8
P2079,688,14,19
P2080,2,35,18
P2081,428,48,18
P2082,141,34,1
P2083,375,10,15
P2084,669,35,18
P2085,323,11,7
P2086,145,11,16
P2087,957,21,16
P2088,292,21,15
P2089,664,22,6
P2090,431,45,9
P2091,704,7,7
P2092,948,17,14
P2093,974,2,11
P2094,584,12,16
P2095,398,42,6
P2096,816,18,16
P2097,888,11,16
P2098,343,16,12
P2099,963,49,17
P2100,139,18,5
P2101,186,35,13
P2102,804,26,8
P2103,60,16,5
P2104,996,6,12
P2105,938,44,9
P2106,379,43,3
P2107,709,47,3
P2108,806,47,1
P2109,439,48,18
P2110,318,42,12
P2111,301,12,9
P2112,343,13,9
P2113,10,4,18
P2114,61,39,18
P2115,844,2,7
P2116,225,26,4
P2117,152,27,13
P2118,710,27,17
P2119,563,15,2
P2120,771,8,14
P2121,570,7,3
P2122,583,47,5
P2123,659,46,14
P2124,860,40,3
P2125,574,12,7
P2126,309,13,18
P2127,884,43,13
P2128,242,17,10
P2129,492,17,13
P2130,365,36,16
P2131,329,21,9
P2132,106,8,2
P2133,225,5,5
P2134,824,26,17
P2135,217,16,4
P2136,936,36,17
P2137,752,28,9
P2138,505,29,2
P2139,258,47,18
P2140,887,12,11
P2141,773,37,13
P2142,516,30,8
P2143,772,23,1
P2144,53,16,17
P2145,46,14,12
P2146,726,10,4
P2147,688,7,13
P2148,520,45,9
P2149,98,37,7
P2150,19,29,5
P2151,889,3,5
P2152,752,15,17
P2153,572,36,9
P2154,890,47,6
P2155,489,46,19
P2156,418,19,16
P2157,689,13,2
P2158,849,42,10
P2159,61,21,16
P2160,144,37,5
P2161,215,27,15
P2162,2,29,13
P2163,159,20,13
P2164,738,25,13
P2165,997,6,15
P2166,780,36,14
P2167,119,2,8
P2168,892,22,11
P2169,88,32,18
P2170,328,16,4
P2171,579,18,10
P2172,909,5,1
P2173,356,36,5
P2174,609,30,13
P2175,266,45,1
P2176,616,19,8
P2177,951,23,3
P2178,322,34,3
P2179,634,13,7
P2180,987,43,4
P2181,540,29,3
P2182,648,36,15
P2183,194,22,8
P2184,920,47,3
P2185,737,36,7
P2186,331,9,18
P2187,169,39,11
P2188,520,19,11
P2189,462,38,17
P2190,39,6,6
P2191,536,47,8
P2192,260,15,1
P2193,394,20,10
P2194,954,9,19
P2195,225,32,3
P2196,983,4,4
P2197,123,18,11
P2198,974,5,15
P2199,37,20,1
P2200,327,23,9
P2201,250,11,11
P2202,900,37,19
P2203,175,22,13
P2204,601,4,16
P2205,913,29,4
P2206,453,44,1
P2207,36,34,13
P2208,315,13,1
P2209,687,42,5
P2210,972,9,5
P2211,795,42,14
P2212,964,31,14
P2213,972,7,8
P2214,592,4,4
P2215,113,19,7
P2216,39,42,19
P2217,300,30,15
P2218,223,31,4
P2219,317,35,19
P2220,348,21,9
P2221,114,31,13
P2222,697,19,14
P2223,322,31,14
P2224,567,32,10
P2225,39,2,16
P2226,865,10,5
P2227,39,2,6
P2228,858,2,2
P2229,972,24,13
P2230,748,17,13
P2231,288,32,19
P2232,261,16,18
P2233,215,16,19
P2234,146,46,1
P2235,335,39,8
P2236,167,31,16
P2237,91,43,2
P2238,352,24,8
P2239,570,1,6
P2240,570,11,16
P2241,815,21,11
P2242,680,4,17
P2243,780,7,19
P2244,362,26,11
P2245,556,47,8
P2246,344,12,4
P2247,692,31,11
P2248,169,17,8
P2249,355,33,9
P2250,190,11,2
P2251,666,28,16
P2252,421,32,6
P2253,699,1,19
P2254,6,47,8
P2255,132,28,14
P2256,746,42,16
P2257,556,7,12
P2258,825,2,5
P2259,760,42,19
P2260,30,24,18
P2261,534,4,9
P2262,425,44,2
P2263,393,19,12
P2264,671,26,2
P2265,362,11,10
P2266,436,40,1
P2267,669,43,4
P2268,550,11,12
P2269,926,45,9
P2270,81,3,4
P2271,355,12,9
P2272,257,3,6
P2273,717,42,1
P2274,588,27,10
P2275,988,49,14
P2276,523,2,18
P2277,294,49,6
P2278,961,16,18
P2279,223,2,16
P2280,524,30,15
P2281,45,20,16
P2282,666,38,8
P2283,112,28,13
P2284,232,25,11
P2285,16,32,7
P2286,359,10,17
P2287,222,42,18
P2288,865,40,19
P2289,699,33,13
P2290,447,13,15
P2291,855,41,1
P2292,364,42,16
P2293,674,47,5
P2294,325,37,3
P2295,466,16,10
P2296,413,45,19
P2297,454,22,5
P2298,585,20,7
P2299,232,43,14
P2300,223,27,3
P2301,993,41,13
P2302,830,16,13
P2303,411,34,10
P2304,571,32,2
P2305,334,26,6
P2306,221,25,8
P2307,36,2,4
P2308,988,12,12
P2309,277,40,15
P2310,195,9,8
P2311,915,12,7
P2312,863,26,14
P2313,483,9,19
P2314,241,10,14
P2315,323,32,13
P2316,730,34,1
P2317,191,48,19
P2318,16,20,1
P2319,523,39,4
P2320,917,2,10
P2321,400,1,3
P2322,905,36,9
P2323,885,24,3
P2324,704,27,6
P2325,21,2,6
P2326,473,31,12
P2327,119,14,1
P2328,209,2,16
P2329,305,29,5
P2330,269,15,9
P2331,703,12,10
P2332,686,37,13
P2333,284,28,15
P2334,715,20,12
P2335,675,39,5
P2336,762,24,5
P2337,226,21,18
P2338,947,10,12
P2339,380,46,3
P2340,459,14,7
P2341,6,37,17
P2342,28,18,19
P2343,906,24,18
P2344,32,14,1
P2345,645,34,5
P2346,878,12,2
P2347,78,22,1
P2348,927,6,7
P2349,946,36,11
P2350,458,45,11
P2351,569,36,18
P2352,982,22,17
P2353,537,14,2
P2354,481,16,7
P2355,429,36,7
P2356,737,25,10
P2357,284,32,3
P2358,515,33,12
P2359,976,45,3
P2360,98,36,11
P2361,396,20,12
P2362,488,18,4
P2363,38,38,16
P2364,270,3,18
P2365,886,23,4
P2366,796,32,6
P2367,156,45,15
P2368,74,16,1
P2369,883,5,3
P2370,799,4,5
P2371,129,21,17
P2372,686,40,14
P2373,973,14,9
P2374,83,39,3
P2375,21,31,13
P2376,458,14,3
P2377,538,6,11
P2378,706,12,2
P2379,848,16,15
P2380,381,17,13
P2381,747,45,19
P2382,439,23,16
P2383,603,14,18
P2384,988,7,7
P2385,20,46,13
P2386,302,32,4
P2387,975,15,9
P2388,868,44,10
P2389,954,17,9
P2390,83,41,7
P2391,773,47,15
P2392,658,44,8
P2393,952,34,19
P2394,452,5,11
P2395,386,45,5
P2396,506,27,2
P2397,256,23,10
P2398,569,40,16
P2399,891,14,13
P2400,933,15,8
P2401,526,43,9
P2402,161,33,11
P2403,956,31,11
P2404,162,35,16
P2405,831,17,10
P2406,792,28,12
P2407,791,19,6
P2408,523,46,12
P2409,785,23,10
P2410,270,32,18
P2411,491,40,18
P2412,207,13,4
P2413,538,20,9
P2414,583,35,7
P2415,59,5,18
P2416,429,9,8
P2417,984,29,11
P2418,656,6,7
P2419,604,25,9
P2420,308,31,8
P2421,519,22,3
P2422,590,2,17
P2423,26,45,2
P2424,685,5,15
P2425,561,27,14
P2426,198,25,18
P2427,386,8,16
P2428,348,1,4
P2429,959,20,6
P2430,939,44,6
P2431,692,23,11
P2432,535,32,17
P2433,827,11,3
P2434,377,39,13
P2435,898,47,3
P2436,915,24,16
P2437,557,11,15
P2438,526,29,11
P2439,152,26,18
P2440,733,16,15
P2441,205,35,5
P2442,454,20,16
P2443,272,46,16
P2444,893,3,17
P2445,235,1,9
P2446,851,47,3
P2447,739,1,13
P2448,520,17,3
P2449,677,2,7
P2450,943,29,6
P2451,955,20,9
P2452,830,6,12
P2453,725,8,15
P2454,500,29,3
P2455,116,48,10
P2456,385,33,1
P2457,343,3,19
P2458,583,35,19
P2459,394,5,13
P2460,63,27,12
P2461,716,44,1
P2462,720,12,19
P2463,71,20,16
P2464,788,45,15
P2465,273,20,16
P2466,989,9,11
P2467,319,39,6
P2468,337,4,11
P2469,365,19,3
P2470,494,38,15
P2471,606,27,1
P2472,165,45,7
P2473,543,43,1
P2474,10,13,17
P2475,300,13,9
P2476,728,22,13
P2477,800,28,11
P2478,101,47,6
P2479,424,45,1
P2480,391,22,7
P2481,778,43,12
P2482,213,19,19
P2483,690,8,17
P2484,87,8,4
P2485,552,42,3
P2486,400,26,1
P2487,587,48,18
P2488,888,26,15
P2489,45,23,8
P2490,671,43,1
P2491,462,13,14
P2492,591,28,4
P2493,309,9,5
P2494,85,20,13
P2495,91,19,15
P2496,659,48,6
P2497,672,39,1
P2498,713,12,19
P2499,935,15,13
P2500,927,31,6
P2501,241,14,15
P2502,864,11,16
P2503,1,26,16
P2504,224,42,10
P2505,800,27,9
P2506,744,11,9
P2507,972,38,17
P2508,925,34,17
P2509,928,43,17
P2510,588,19,12
P2511,115,6,13
P2512,665,46,12
P2513,917,38,14
P2514,102,49,10
P2515,193,42,19
P2516,165,28,2
P2517,870,1,4
P2518,89,35,19
P2519,685,40,7
P2520,121,8,15
P2521,142,47,15
P2522,993,7,6
P2523,105,11,3
P2524,886,39,6
P2525,427,4,16
P2526,304,25,2
P2527,871,12,7
P2528,970,26,11
P2529,316,38,7
P2530,962,46,4
P2531,634,12,7
P2532,901,43,4
P2533,8,37,12
P2534,773,46,5
P2535,72,24,19
P2536,358,16,5
P2537,222,13,19
P2538,415,25,3
P2539,552,4,11
P2540,369,11,7
P2541,715,32,17
P2542,263,49,9
P2543,839,7,9
P2544,689,46,10
P2545,859,11,13
P2546,317,28,15
P2547,83,41,5
P2548,317,23,3
P2549,110,45,8
P2550,250,23,10
P2551,382,28,13
P2552,6,43,3
P2553,458,47,8
P2554,83,26,9
P2555,207,25,12
P2556,899,29,11
P2557,389,19,2
P2558,313,33,18
P2559,21,36,9
P2560,409,14,2
P2561,894,14,2
P2562,514,35,3
P2563,126,30,16
P2564,808,28,19
P2565,699,17,4
P2566,873,3,18
P2567,13,16,18
P2568,970,46,10
P2569,977,30,11
P2570,11,29,17
P2571,86,45,16
P2572,523,15,13
P2573,908,46,2
P2574,536,25,2
P2575,300,38,14
P2576,242,42,4
P2577,121,47,17
P2578,146,38,13
P2579,566,23,4
P2580,749,25,3
P2581,355,42,12
P2582,684,7,8
P2583,903,22,2
P2584,732,17,6
P2585,630,18,10
P2586,308,49,12
P2587,694,41,10
P2588,287,10,10
P2589,306,10,3
P2590,811,7,10
P2591,593,48,9
P2592,965,38,19
P2593,913,27,14
P2594,722,33,2
P2595,661,1,5
P2596,548,44,8
P2597,351,34,7
P2598,311,4,6
P2599,872,17,11
P2600,58,4,12
P2601,642,43,18
P2602,923,26,19
P2603,713,4,10
P2604,754,1,14
P2605,34,7,3
P2606,444,30,18
P2607,92,9,15
P2608,949,35,6
P2609,958,8,10
P2610,206,24,12
P2611,352,19,7
P2612,902,36,17
P2613,331,43,1
P2614,816,27,18
P2615,861,32,15
P2616,724,14,19
P2617,158,18,1
P2618,953,28,5
P2619,956,29,15
P2620,23,16,3
P2621,403,35,1
P2622,804,47,8
P2623,515,31,12
P2624,731,4,19
P2625,363,37,12
P2626,381,17,13
P2627,531,39,1
P2628,955,48,19
P2629,151,46,6
P2630,561,26,8
P2631,688,48,4
P2632,946,39,5
P2633,607,41,7
P2634,616,4,4
P2635,419,30,4
P2636,249,30,15
P2637,116,22,5
P2638,865,11,9
P2639,511,2,2
P2640,739,44,7
P2641,577,12,17
P2642,334,30,16
P2643,417,36,17
P2644,931,18,2
P2645,773,26,11
P2646,294,7,2
P2647,937,1,1
P2648,754,26,2
P2649,370,23,9
P2650,185,26,2
P2651,245,45,15
P2652,636,6,10
P2653,267,6,15
P2654,642,44,10
P2655,236,8,17
P2656,529,24,9
P2657,551,22,18
P2658,20,19,4
P2659,910,37,9
P2660,736,18,16
P2661,866,31,4
P2662,793,37,16
P2663,519,30,19
P2664,99,42,1
P2665,751,33,6
P2666,477,10,10
P2667,598,37,16
P2668,297,12,4
P2669,939,30,13
P2670,525,27,16
P2671,333,39,6
P2672,1,9,11
P2673,374,21,3
P2674,292,12,10
P2675,836,29,1
P2676,933,33,11
P2677,552,43,12
P2678,317,15,14
P2679,501,2,8
P2680,827,39,11
P2681,380,44,4
P2682,622,18,7
P2683,13,3,10
P2684,503,7,19
P2685,230,43,4
P2686,984,18,2
P2687,83,44,18
P2688,129,38,14
P2689,742,37,16
P2690,837,33,11
P2691,144,44,10
P2692,890,31,17
P2693,856,11,14
P2694,27,4,4
P2695,65,18,19
P2696,162,4,2
P2697,228,49,7
P2698,260,34,9
P2699,448,29,19
P2700,423,24,16
P2701,459,22,16
P2702,951,2,18
P2703,675,44,11
P2704,300,6,7
P2705,918,42,9
P2706,302,25,4
P2707,286,21,13
P2708,394,16,4
P2709,9,31,19
P2710,706,14,2
P2711,629,39,9
P2712,269,28,12
P2713,591,32,2
P2714,969,28,6
P2715,604,49,5
P2716,777,9,5
P2717,843,45,5
P2718,861,22,4
P2719,360,32,9
P2720,256,5,10
P2721,132,23,16
P2722,275,5,10
P2723,775,42,10
P2724,682,32,19
P2725,971,10,10
P2726,512,39,6
P2727,312,15,17
P2728,575,7,5
P2729,885,29,6
P2730,979,47,15
P2731,283,3,19
P2732,120,19,18
P2733,106,10,4
P2734,932,28,8
P2735,686,29,16
P2736,996,15,19
P2737,203,35,3
P2738,164,6,10
P2739,304,12,2
P2740,496,47,4
P2741,631,38,6
P2742,555,13,11
P2743,823,29,14
P2744,155,19,16
P2745,366,3,19
P2746,718,8,2
P2747,901,8,17
P2748,619,20,9
P2749,250,47,17
P2750,956,4,15
P2751,915,21,7
P2752,881,3,19
P2753,333,45,3
P2754,641,8,1
P2755,968,23,4
P2756,510,16,18
P2757,292,13,8
P2758,19,3,19
P2759,281,48,6
P2760,796,9,1
P2761,0,14,8
P2762,118,13,1
P2763,34,7,19
P2764,197,15,11
P2765,484,7,15
P2766,756,38,11
P2767,58,34,19
P2768,836,41,10
P2769,160,22,12
P2770,690,24,1
P2771,205,49,7
P2772,11,37,17
P2773,489,44,10
P2774,275,1,6
P2775,692,10,17
P2776,241,43,18
P2777,215,16,5
P2778,250,46,18
P2779,810,8,17
P2780,125,49,16
P2781,993,25,8
P2782,216,12,13
P2783,305,25,16
P2784,796,17,11
P2785,184,26,6
P2786,38,46,3
P2787,222,48,1
P2788,183,14,18
P2789,494,41,5
P2790,426,36,13
P2791,177,23,10
P2792,918,43,5
P2793,427,6,14
P2794,293,47,17
P2795,851,5,1
P2796,150,43,2
P2797,383,25,7
P2798,637,18,10
P2799,812,13,7
P2800,307,43,16
P2801,335,14,5
P2802,945,28,12
P2803,745,18,17
P2804,891,28,16
P2805,374,27,16
P2806,7,32,19
P2807,340,47,15
P2808,128,9,12
P2809,775,40,10
P2810,668,32,2
P2811,351,20,7
P2812,357,28,13
P2813,516,33,3
P2814,494,4,15
P2815,85,46,1
P2816,174,34,3
P2817,801,48,10
P2818,192,3,15
P2819,310,26,6
P2820,118,8,15
P2821,217,6,7
P2822,426,16,5
P2823,969,24,4
P2824,413,48,18
P2825,113,39,3
P2826,977,30,17
P2827,144,45,18
P2828,537,13,18
P2829,647,5,2
P2830,302,25,13
P2831,743,20,15
P2832,880,18,5
P2833,587,47,3
P2834,986,18,5
P2835,839,2,5
P2836,344,10,5
P2837,813,45,3
P2838,963,47,3
P2839,800,12,18
P2840,0,47,4
P2841,146,13,1
P2842,286,47,16
P2843,975,11,8
P2844,653,19,17
P2845,52,35,8
P2846,303,39,7
P2847,68,26,8
P2848,360,46,12
P2849,601,14,16
P2850,957,45,12
P2851,219,44,19
P2852,961,24,10
P2853,703,41,7
P2854,965,1,12
P2855,574,43,5
P2856,584,22,16
P2857,160,23,9
P2858,680,19,7
P2859,88,18,14
P2860,687,12,11
P2861,780,28,7
P2862,584,28,10
P2863,756,33,9
P2864,588,19,4
P2865,158,28,16
P2866,488,49,10
P2867,970,37,19
P2868,323,26,17
P2869,609,35,9
P2870,380,34,13
P2871,101,35,1
P2872,493,40,2
P2873,643,16,13
P2874,613,38,9
P2875,18,13,7
P2876,453,23,16
P2877,481,22,19
P2878,593,16,7
P2879,396,28,6
P2880,278,48,18
P2881,850,35,19
P2882,364,45,11
P2883,330,46,12
P2884,640,8,10
P2885,343,44,13
P2886,821,22,12
P2887,454,21,10
P2888,600,26,18
P2889,724,40,4
P2890,654,21,5
P2891,64,25,5
P2892,75,41,12
